And this?	و هذه؟
- I don't know how else to explain what happened to that prison superintendent or to poor Mr. Merkle over there, who's got no face anymore.	- أنا لا أعرف كم ما عدا ذلك للتوضيح... ... الذيحدثإلى ذلك مديرالسجنأوإلى فقير السّيد ميركل هناك، الذي ما أصبح أي وجه أكثر.
Oh, and you, too, WAC.	اوه , وانت , ايضا , واك
Keller's a smart guy.	، (إنه (كيلير . شخصٌ ذكي
Thank you. We're glad to hear it. But may I ask you why?	شكراً، يسرنا ذلك، لكن هل لي أن أسألك عن السبب؟
Oh, um, they had to do a double at Raymor Plaza.	توجب عليهما العمل لنوبة إضافيّة في فندق "رايمارو".
Okay.	-أغرب من هنا سررت بلقائك يا بنيّ
Ah, no, no, this... this is, uh...	.. لا ، لا ، هذه ... هذه هي
I have a secret... but I have to come over there to tell you.	لدي سر لكن يجب أن أجيء هناك لإخبارك
A blend of idiocy and depravity. "	مزيج من الحماقة والانحراف".
Remember "On the Road"?	هل تتذكر "على الطريق"؟
-What?	- ماذا?
- No, I wasn't home.	ـ لم اكن في البيت
You're of little use to your clan, you might as well be of some use to me.	أنت مِنْ الإستعمالِ الصَغيرِ إلى عشيرتِكَ، أنت من المفضّل أن تَكُونُ بَعْض الإستعمالِ لي.
Mr. Toole told me the whole story.	-السيد (تول) أخبرني القِصّة بأكملِها
Born 1971.	ولد عام 1971
Yeah, Okay,	طبعا , حسنا
(IN SPANISH)	{\pos(192,240)}عزيزتي
Don't tell me you didn't you hear it.	ـ نعم. لا تقولي أنك لم تسمعيها
I miss Travis.	افتقد ترافيس
Please cut to the chase. I...	...أرجوك اختصر، أنا
- Oh yeah, I'll get you guys some drinks.	-أجل,سوف أجلب لكما بعض الشراب
So you boys ready to order?	إذًا يا رفاق، هل أنتم جاهزين للطلب؟
But that figure is pretty lame.	لكنه لم يتغير ابدا
You were a cheerleader?	هل كنت مشجعة ؟
Do you want to be an accomplice or the main culprit?	هل ترغبين فى ان تكوني شريكة أم متهمة رئيسية؟
And, how do you like being married?	كيف حياة الزواج ؟
What!	ما!
To give you fair warning.	أن أقوم بأعطائك تحذير عادل
Coleman's got pictures.	كولمن لديه صور
# Tell her I need my baby	أخبرها أنني أحتاج إلى حبيبتي
-You guys are a sight for sore eyes.	أنتم شبّان تمثلون ضوءا لأعين ملتهبه
That's what I'm saying.	ذلك الذي أَقُولُة.
Am I right? So right.	لا شكراً، صحيح؟
Time to pick up the tempo boys	علي أن أغير الجو ايها الفتية
And the ice cream?	-والبوظة؟
A lot of people might think I'm stupid, but those people are wrong.	أناس كثيرون يظنوني غبياً، ولكن هؤلاء الناس مخطئون.
- You want hankmed to run your clinic?	تريـدين أن تديـر "هانـك ميـد" عيادتـك ؟
The application of UVGI to disinfection has been an accepted practice since the mid-20th century.	استعمال UVGI للتعقيم كان ممارسة مقبولة منذ منتصف القرن العشرين.
But I can't deliver it	ولكني لا استطيع قراءته
- Ah, you're pretty freaked out, huh?	أنت خــائف كثيرا؟
Watch those kids.	مشاهدة هؤلاء الأطفال.
-Make the call.	-كلمه
An Act had been promulgated in 2000 on basic compulsory education.	فقد سن قانون في عام 2000 بشأن التعليم الأساسي الإلزامي.
- Are your tires Kosher?	- هل اطاراتك "كوشر"؟
Get on your knees.	إجلس علي ركبتيك
Get out of here.	إخرجْي من هنا.
He's gonna leave a big, big tip. Yeah.	- عليكِ أن تحبي هذا الرجل
That's it.	هذا هو
Wow.	مدهش.
Dog tags were found at the scene...	البطاقات التعريفية كانت موجودة هناك...
Oh, shut up, Dan. You probably have tons of girlfriends.	اصمت دان , ربما يكون لديك اطنان من الرفيقات
What does he eat?	ماذا يأكل؟
Something's been unleashed.	الشيء أطلق عنان.
Okay.	لا شيء
HRI/CORE/1/Add.31/Rev.1 page 29	لحقوق الإنسـان
Keep walking!	واصلالسير!
I got a lot of homes and nice toys...	حصلت على العديد من البيوت وألعاب لطيفة
... wasa Jesuitpsychiatrist at Georgetown University.	... وكان طبيب نفساني في جامعة جورجتاون.
Shaggy, it's rising.	سوف اذهب الى اتفقدهم اراهن انك سوف تفعل
My hubby would undoubtedly be able to build ten to oaser-	‫ولا أعتقد أن خطيبي سيجد مشكلة في بناء ‫عشرة أو أكثر من الواحات
That's my girl!	هذه فتاتى
General Juma?	أيها الجنرال (جمعة)؟
You're such an enigma.	-انت تشبه النجوم
To Tom and Violet...	نخب "توم" و "فيوليت"
Come on.	بحقّك -
Remember.	أتذكر؟
You sure you're ready for this?	. أمتأكد من إستعدادك لهذا ؟
I heard the old familiar noises.	سمعت ضوضاء من الزبائن الدائمين
I won't let it be like this.	لن أقبل بأن يكون هكذا
Oh, God, it hurts.	يا الله، وهذا يضر.
Yes. The silver bracelet that you cleaned last year that belonged to my grandmother.	نعم، السوار الفضّي الذي نظّفته العام الماضي الذي كان ملك لجدتي
JUDGING FROM THE FRACTURES,	بالنظر للكسور
In recent years, Kuwait had improved and liberalized trade, strengthened foreign investment and accorded the private sector a pioneering role based on free competition, all of which had required constant amendment of legislation.	40 - ومضى يقول إن الكويت قامت بتحرير التجارة وإدخال تحسينات عليها في السنوات الأخيرة، وعززت الاستثمارات الخارجية، وأعطت للقطاع الخاص دوراً رائداً على أساس المنافسة الحرة، وكلها أمور احتاجت إلى تعديلات مستمرة في التشريعات.
A ballot paper containing more names from the relevant region than the number of seats assigned to it will be declared invalid.	وستعتبر باطلة أي بطاقة اقتراع تحمل أسماء من المنطقة المعنية يزيد عددها على عدد المقاعد المخصصة للمنطقة.
- Chief, let me talk to him.	-أتركني أتحدث إليه سيّدي الرئيس
Belavia... you take us?	(بيلفيا)... هلتأخذنا؟
What kind of monsters would do this?	أي نوع من الوحوش قد يقترف هذا؟
Return of Kuwaiti property	إعادة الممتلكات الكويتية
Disappear every 27 years, you know, you lose the people you love.	تختفين كل 27 سنة تعرفين أنك تخسرين من أحبتتي
Can't even get smokes without the merchants, let alone market prosperity.	لا يمكنك حتى أن تحصل على سيجارة من دون تاجر
The company would send out another man.	سترسل الشركة وقتها أحد آخر .
Then he'll get what he deserves.	و سوف ينال ما يستحقه
And, apart from the Mao period, that has remained more or less the case ever since.	بعيداً عن فترة " ماو " والتي كانت القصة فيها مشابهة في حين .. او مختلفة في حين أخرى ..
Its me who didn't listen to him.	إنه أنا الذي لم يستمع إليه
The loss of export-linked revenue would hamper the budget of those countries and their only solution would be to launch a new cycle of indebtedness.	فخسارة الإيرادات المتصلة بالصادرات سوف تضعف ميزانية تلك البلدان.
- A little.	-قليلاً
How's Belen?	ما حال (بِلِن)؟
He indicated that a consensus was developing in favour of a flexible review mechanism to be decided by each individual commission based on its own particular circumstances instead of an automatic five- and ten-year review of each conference.	وذكر أن ثمة توافقا في الآراء آخذ بالتشكل حول إنشاء آلية استعراض مرنــة يعود أمر البت فيهـا إلى كل لجنة من اللجان استنادا إلى ظروفها الخاصة، بدلا من استعراض كل مؤتمر من المؤتمرات تلقائيا بعد انقضاء خمس أو عشر سنوات على انعقاده.
You're right, you're right.	أنت محق , أنت محق
Last call for all that is good and holy.	نخب الأخيار والقديسين
What did you guys do?	ماذافعلتم؟
It's really nice to see you.	سررتُ جداً برؤيتك.
Documents:	الوثائق:
♪ All I need is one more chance ♪	والرجل المشرد مع طائره الميت
How many times doIhave to tell you?	كم مرة سأخبرك ؟
Them, I understand, but how did you not think of that?	لهم ، أنا أفهم ولكن كيف لم تفكري في ذلك؟
Supra, note 165, at p. 843.	() أعلاه، الحاشية 165، ص 843.
Hi, Mardar.	مرحبا، ماردار
Car wash, yeah	مغسلة السيارات، أجل
How nice to find me now, zandman?	كيف ستحبني الان أيها الرجل الرملي
I built it with my own hands.	كان منزلنا لقد بنيته بيدي
- Whisky?	-هل تتزلجين؟ -أجل، منذ صغري
Section 21 expenditures cover the salaries of the Division's interregional advisers.	وتغطي النفقات تحت الباب 21 مرتبات المستشارين الأقاليميين للشعبة.
During the week ending 1 January 2005, the Security Council took no action on any of the items listed therein.	وخلال الأسبوع المنتهي في 1 كانون الثاني/يناير 2005، لم يتخذ مجلس الأمن أي إجراء بشأن البنود الواردة في تلك الوثائق.
Yes, he can.	نعم، يستطيع.
Excuse me.	معذرةً
Our testimony alone will put Self away.	-شهادتنا وحدها كفيلة بسجن (سِلف )
The real favorite is Portland. Every time I visit, it's harder to leave.	مكانى المفضل هو بورتلاند، عند مغادرتى لها كل مرة اشعر بالأسى.
Sam?	(سام) ؟
Shepherd and Roman took me to a memorial.	لقد اصطحبني (رومان) و (شيبارد) إلى نصب تذكاري
I will meet you back here in two days time.	سألقاك هنا مرة أخرى بعد يومين من الآن.
Was greater hand than mine that conceived it.	الفضل لمن خطط للدور
- even paranoia.	...حتى الارتياب.
The Parties may wish to consider that report and provide further guidance on the topic as they deem appropriate.	وقد ترغب الأطراف في النظر في هذا التقرير وتقديم المزيد من المشورة بشأن الموضوع حسبما تراه مناسباً.
But it's right.	ولكن من الصحيح.
Oh, that dress looks pretty.	ماذا تفعل بالخارج؟
In the end, many who fought to bring about Austria-Hungary’s demise would live to mourn its passing; as subsequent events would show, the old empire was still more of a necessity than they realized. By learning from its mistakes, today’s Europeans may yet be able to reform and reinvigorate an “empire” whose most important work still lies ahead.	في النهاية، يتعين علينا أن نتذكر أن العديد ممن ناضلوا لإسقاط الإمبراطورية النمساوية المجرية أعربوا عن حزنهم وتفجعهم لزوالها بعد أن أظهرت الأحداث التالية أن الإمبراطورية القديمة كانت تشكل ضرورة أقوى من كل تصوراتهم. وقد يتمكن الأوروبيون اليوم، بالتعلم من أخطائهم القديمة، من العمل على إصلاح وتعزيز قوة ampquot;الإمبراطوريةampquot; التي ما زالت أهم وظيفة لها تنتظرها في المستقبل.
Consequently many side-shows undermine the role of the mandated mediator and give the belligerent parties an opportunity to drag the conflict on, in most cases, for years.	وبالتالي فإن العديد من الأحداث العرضية تقوض دور الوسيط المفوض وتعطي للأطراف المتحاربة فرصة لإطالة أمد النزاع لسنوات عدة في معظم الحالات.
MR. HIGHSMITH,	سيد هاي سميث
But if you look at the blue data points, which is mechanically ventilated air, it's not as diverse.	لكن حين تنظرون إلى نقاط البيانات الزرقاء، والذي هو الجو المهوى ميكانيكيا، ليست بذلك التنوع.
We want you to have the first bottle	نرغب أن تحصلي على هذه القارورة
- He'llbe there somewhere.	- هو سَيَكُونُ هناك في مكان ما.
Hilda, when Mom got sick, you disappeared.	لقد هربت مع "سانتوس" او غيره.. وبقيت بالمنزل لأعتني بوالدي
Hands down.	فرصتك الأن
